key,code,moment,durationInitial,durationFinal,amount,type,email,link,published,key:project,key:sponsor
sponsorship-53,ODE-293,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,USD 100000000.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,true,project-31,sponsor-01
sponsorship-54,KIE-203,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 100000000.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,true,project-31,sponsor-01
sponsorship-55,KDF-213,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 100000000.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,true,project-31,sponsor-01
sponsorship-56,PPP-001,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,debeDejarPublicarlo@gmail.com,https://github.com/,false,project-31,sponsor-01
sponsorship-57,PPP-002,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 100000000.00,Financial,alvarochicocastellano@gmail.com,https://falloPorInvoicesNoSumanLaCantidad.com/,false,project-31,sponsor-01
sponsorship-58,PPP-003,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1.00,Financial,falloPorInvoicesNoPublicadas@gmail.com,https://github.com/,false,project-31,sponsor-01
sponsorship-59,PPP-004,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 100.00,Financial,alvarochicocastellano@gmail.com,https://falloPorEditarElPrecioDelSponsorshipPorDebajoDeLaSumaDeFacturasPublicadasBajarA50/,false,project-31,sponsor-01
sponsorship-60,PPP-005,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1.00,Financial,falloPorCambiarLaDivisa@gmail.com,https://github.com/,false,project-31,sponsor-01
sponsorship-61,PPP-006,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 100000000.00,Financial,0Invoice@gmail.com,https://github.com/,false,project-31,sponsor-01
sponsorship-62,PPP-007,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 100000000.00,Financial,1Invoice@gmail.com,https://github.com/,false,project-31,sponsor-01
sponsorship-63,PPP-008,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 100000000.00,Financial,2Invoice@gmail.com,https://github.com/,false,project-31,sponsor-01
sponsorship-64,PPP-009,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 100000000.00,Financial,3Invoice@gmail.com,https://github.com/,false,project-31,sponsor-01
sponsorship-65,III-001,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1000.00,Financial,pruebaInvoice@gmail.com,https://github.com/,false,project-31,sponsor-01
sponsorship-66,III-002,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1000.00,Financial,pruebaInvoice@gmail.com,https://github.com/,false,project-31,sponsor-01
sponsorship-67,III-003,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1000.00,Financial,pruebaInvoice@gmail.com,https://github.com/,true,project-31,sponsor-01
